|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
|Erkek ve 60-64 ve İlkokul|2019|93295.0|62534.0|68705.0|51145.0|36115.0|78280.0|130603.0|36037.0|15224.0|41916.0|20636.0|106589.0|
|Erkek ve 60-64 ve İlköğretim|2019|19369.0|10397.0|9521.0|6873.0|5831.0|15536.0|18118.0|11569.0|3625.0|7816.0|5937.0|21616.0|
|Erkek ve 65+ ve Bilinmeyen|2019|7130.0|5855.0|2903.0|2968.0|2151.0|5428.0|7612.0|2579.0|1515.0|4939.0|1370.0|10334.0|
|Erkek ve 65+ ve Doktora|2019|984.0|3058.0|319.0|368.0|245.0|897.0|2035.0|246.0|174.0|282.0|157.0|4683.0|
|Erkek ve 65+ ve Lise Ve Dengi Meslek Okulu|2019|42464.0|39074.0|19318.0|20339.0|13413.0|37933.0|54080.0|15904.0|6556.0|16490.0|12056.0|58410.0|
|Erkek ve 65+ ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|42117.0|15996.0|43618.0|18804.0|22624.0|22649.0|45865.0|32261.0|11477.0|18477.0|17827.0|25761.0|
|Erkek ve 65+ ve Okuma Yazma Bilmeyen|2019|21044.0|9285.0|16321.0|5658.0|10109.0|12524.0|12713.0|36448.0|8961.0|9165.0|17311.0|16355.0|
|Erkek ve 65+ ve Ortaokul Veya Dengi Meslek Ortaokul|2019|32503.0|28593.0|19152.0|15545.0|11454.0|32255.0|39781.0|14195.0|6332.0|15495.0|9936.0|42906.0|
|Erkek ve 65+ ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|2242.0|5169.0|638.0|961.0|489.0|1762.0|3891.0|448.0|198.0|452.0|267.0|8847.0|
|Erkek ve 65+ ve Yüksekokul Veya Fakülte|2019|41126.0|49204.0|15617.0|18082.0|11083.0|29625.0|61779.0|7461.0|2979.0|11204.0|5691.0|67112.0|
|Erkek ve 65+ ve İlkokul|2019|215808.0|152790.0|164078.0|124670.0|85042.0|186586.0|310290.0|74568.0|38894.0|109955.0|47638.0|209351.0|
|Erkek ve 65+ ve İlköğretim|2019|10293.0|5593.0|5502.0|4067.0|3180.0|8293.0|9946.0|7869.0|2409.0|4446.0|3796.0|10358.0|
|Kadın ve 14-17 ve Bilinmeyen|2019|739.0|388.0|153.0|63.0|384.0|472.0|342.0|880.0|93.0|391.0|192.0|1383.0|
|Kadın ve 14-17 ve Lise Ve Dengi Meslek Okulu|2019|2136.0|991.0|736.0|323.0|501.0|811.0|1036.0|3690.0|1167.0|889.0|2228.0|1660.0|
|Kadın ve 14-17 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3267.0|1702.0|686.0|672.0|1011.0|1699.0|1916.0|7776.0|1175.0|1801.0|3102.0|5095.0|
|Kadın ve 14-17 ve Okuma Yazma Bilmeyen|2019|13.0|3.0|2.0|1.0||4.0|3.0|17.0||1.0|9.0|10.0|
|Kadın ve 14-17 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|294694.0|206449.0|113750.0|74637.0|64416.0|198072.0|239891.0|312714.0|69326.0|111519.0|126413.0|374792.0|
|Kadın ve 14-17 ve İlkokul|2019|16253.0|7144.0|3394.0|3894.0|1320.0|7366.0|10110.0|29212.0|6558.0|3744.0|13150.0|15203.0|
|Kadın ve 18-21 ve Bilinmeyen|2019|1420.0|710.0|253.0|172.0|603.0|1076.0|787.0|1695.0|233.0|697.0|534.0|1800.0|
|Kadın ve 18-21 ve Lise Ve Dengi Meslek Okulu|2019|202947.0|192501.0|110157.0|72604.0|65524.0|166704.0|209752.0|153708.0|56321.0|104919.0|80336.0|294631.0|
|Kadın ve 18-21 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3557.0|1465.0|610.0|757.0|729.0|1545.0|1904.0|10212.0|2016.0|1592.0|3927.0|4485.0|
|Kadın ve 18-21 ve Okuma Yazma Bilmeyen|2019|166.0|50.0|30.0|54.0|12.0|114.0|87.0|808.0|98.0|90.0|735.0|242.0|
|Kadın ve 18-21 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|84102.0|48780.0|26437.0|19374.0|12782.0|48207.0|65321.0|154371.0|31164.0|30511.0|56603.0|106055.0|
|Kadın ve 18-21 ve Yüksekokul Veya Fakülte|2019|14117.0|8445.0|6944.0|4815.0|3999.0|10046.0|13203.0|8314.0|2627.0|5142.0|4069.0|27021.0|
